row_id,y,factor,label,failed,raw_output
0,Low,imperative_tone,-1,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 1,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 1,
  ""persona_adoption"": 0,
  ""instructional_style"": 1
}"
0,Low,hypothetical_framing,1,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 1,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 1,
  ""persona_adoption"": 0,
  ""instructional_style"": 1
}"
0,Low,responsibility_externalization,0,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 1,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 1,
  ""persona_adoption"": 0,
  ""instructional_style"": 1
}"
0,Low,obfuscation_techniques,1,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 1,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 1,
  ""persona_adoption"": 0,
  ""instructional_style"": 1
}"
0,Low,step_by_step_requests,1,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 1,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 1,
  ""persona_adoption"": 0,
  ""instructional_style"": 1
}"
0,Low,persona_adoption,0,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 1,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 1,
  ""persona_adoption"": 0,
  ""instructional_style"": 1
}"
0,Low,instructional_style,1,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 1,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 1,
  ""persona_adoption"": 0,
  ""instructional_style"": 1
}"
1,Low,imperative_tone,-1,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
1,Low,hypothetical_framing,0,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
1,Low,responsibility_externalization,0,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
1,Low,obfuscation_techniques,1,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
1,Low,step_by_step_requests,0,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
1,Low,persona_adoption,0,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
1,Low,instructional_style,0,0,"{
  ""imperative_tone"": -1,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 1,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
2,Low,imperative_tone,0,0,"{
  ""imperative_tone"": 0,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 0,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
2,Low,hypothetical_framing,0,0,"{
  ""imperative_tone"": 0,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 0,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
2,Low,responsibility_externalization,0,0,"{
  ""imperative_tone"": 0,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 0,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
2,Low,obfuscation_techniques,0,0,"{
  ""imperative_tone"": 0,
  ""hypothetical_framing"": 0,
  ""responsibility_externalization"": 0,
  ""obfuscation_techniques"": 0,
  ""step_by_step_requests"": 0,
  ""persona_adoption"": 0,
  ""instructional_style"": 0
}"
